id,stages,dt
0,Stage_0,2019-12-01
0,Stage_3,2019-12-03
0,Stage_6,2019-12-07
0,Stage_7,2019-12-11
1,Stage_1,2019-12-01
1,Stage_0,2019-12-03
1,Stage_3,2019-12-11
1,Stage_6,2019-12-15
1,Stage_7,2019-12-23
2,Stage_0,2019-12-01
2,Stage_1,2019-12-06
2,Stage_3,2019-12-09
2,Stage_2,2019-12-13
2,Stage_6,2019-12-17
2,Stage_7,2019-12-21
3,Stage_0,2019-12-01
3,Stage_2,2019-12-02
3,Stage_6,2019-12-08
3,Stage_3,2019-12-17
3,Stage_7,2019-12-24
4,Stage_0,2019-12-01
4,Stage_1,2019-12-05
4,Stage_3,2019-12-08
4,Stage_7,2019-12-13
5,Stage_0,2019-12-01
5,Stage_2,2019-12-02
5,Stage_1,2019-12-08
5,Stage_3,2019-12-10
5,Stage_7,2019-12-17
5,Stage_6,2019-12-22
6,Stage_0,2019-12-01
6,Stage_1,2019-12-08
6,Stage_2,2019-12-17
6,Stage_7,2019-12-20
7,Stage_6,2019-12-01
7,Stage_0,2019-12-04
7,Stage_7,2019-12-07
8,Stage_0,2019-12-01
8,Stage_1,2019-12-09
8,Stage_3,2019-12-12
8,Stage_6,2019-12-18
8,Stage_8,2019-12-27
8,Stage_7,2019-12-31
9,Stage_1,2019-12-01
9,Stage_2,2019-12-06
9,Stage_3,2019-12-15
9,Stage_7,2019-12-20
10,Stage_0,2019-12-01
10,Stage_1,2019-12-04
10,Stage_2,2019-12-12
10,Stage_3,2019-12-16
10,Stage_4,2019-12-18
10,Stage_7,2019-12-23
11,Stage_0,2019-12-01
11,Stage_1,2019-12-09
11,Stage_3,2019-12-17
11,Stage_5,2019-12-24
11,Stage_7,2019-12-26
11,Stage_6,2019-12-31
12,Stage_0,2019-12-01
12,Stage_3,2019-12-03
12,Stage_1,2019-12-04
12,Stage_7,2019-12-12
13,Stage_0,2019-12-01
13,Stage_7,2019-12-07
13,Stage_2,2019-12-14
14,Stage_4,2019-12-01
14,Stage_3,2019-12-09
14,Stage_6,2019-12-10
14,Stage_7,2019-12-16
15,Stage_1,2019-12-01
15,Stage_3,2019-12-07
15,Stage_6,2019-12-08
15,Stage_2,2019-12-14
15,Stage_7,2019-12-21
16,Stage_3,2019-12-01
16,Stage_7,2019-12-06
16,Stage_0,2019-12-14
17,Stage_0,2019-12-01
17,Stage_3,2019-12-09
17,Stage_2,2019-12-11
17,Stage_7,2019-12-12
18,Stage_0,2019-12-01
18,Stage_3,2019-12-04
18,Stage_4,2019-12-10
18,Stage_7,2019-12-15
18,Stage_9,2019-12-23
19,Stage_0,2019-12-01
19,Stage_7,2019-12-09
19,Stage_4,2019-12-11
20,Stage_0,2019-12-01
20,Stage_1,2019-12-08
20,Stage_3,2019-12-09
20,Stage_6,2019-12-18
20,Stage_8,2019-12-19
20,Stage_7,2019-12-28
21,Stage_0,2019-12-01
21,Stage_1,2019-12-08
21,Stage_5,2019-12-11
21,Stage_6,2019-12-20
21,Stage_7,2019-12-21
22,Stage_0,2019-12-01
22,Stage_7,2019-12-08
23,Stage_2,2019-12-01
23,Stage_1,2019-12-04
23,Stage_3,2019-12-10
23,Stage_6,2019-12-11
23,Stage_7,2019-12-17
23,Stage_9,2019-12-24
24,Stage_0,2019-12-01
24,Stage_1,2019-12-07
24,Stage_2,2019-12-12
24,Stage_3,2019-12-13
24,Stage_6,2019-12-22
24,Stage_7,2019-12-27
24,Stage_9,2020-01-01
25,Stage_1,2019-12-01
25,Stage_0,2019-12-06
25,Stage_3,2019-12-12
25,Stage_6,2019-12-13
25,Stage_7,2019-12-22
26,Stage_0,2019-12-01
27,Stage_0,2019-12-01
27,Stage_6,2019-12-09
27,Stage_3,2019-12-14
27,Stage_7,2019-12-16
28,Stage_0,2019-12-01
