id,stages,dt
0,Stage_1,2019-12-01
0,Stage_2,2019-12-04
0,Stage_3,2019-12-10
0,Stage_5,2019-12-14
0,Stage_6,2019-12-22
0,Stage_7,2019-12-30
0,Stage_8,2020-01-03
1,Stage_1,2019-12-01
1,Stage_0,2019-12-08
1,Stage_2,2019-12-14
1,Stage_5,2019-12-20
1,Stage_6,2019-12-22
1,Stage_8,2019-12-30
2,Stage_1,2019-12-01
2,Stage_4,2019-12-10
2,Stage_2,2019-12-14
2,Stage_7,2019-12-16
2,Stage_6,2019-12-20
2,Stage_8,2019-12-22
3,Stage_1,2019-12-01
3,Stage_5,2019-12-02
3,Stage_8,2019-12-08
3,Stage_9,2019-12-11
4,Stage_0,2019-12-01
4,Stage_2,2019-12-05
4,Stage_1,2019-12-10
4,Stage_4,2019-12-13
4,Stage_6,2019-12-14
4,Stage_8,2019-12-15
4,Stage_9,2019-12-24
5,Stage_1,2019-12-01
5,Stage_2,2019-12-06
5,Stage_4,2019-12-15
5,Stage_5,2019-12-20
5,Stage_7,2019-12-28
5,Stage_6,2020-01-06
6,Stage_2,2019-12-01
6,Stage_1,2019-12-07
6,Stage_4,2019-12-10
6,Stage_3,2019-12-12
6,Stage_5,2019-12-19
6,Stage_8,2019-12-21
6,Stage_6,2019-12-27
7,Stage_1,2019-12-01
7,Stage_0,2019-12-09
7,Stage_3,2019-12-10
7,Stage_7,2019-12-17
8,Stage_0,2019-12-01
8,Stage_1,2019-12-10
8,Stage_2,2019-12-19
8,Stage_6,2019-12-28
8,Stage_7,2020-01-04
8,Stage_8,2020-01-11
9,Stage_0,2019-12-01
9,Stage_1,2019-12-06
9,Stage_2,2019-12-10
9,Stage_6,2019-12-17
9,Stage_3,2019-12-25
9,Stage_7,2020-01-01
9,Stage_8,2020-01-06
10,Stage_1,2019-12-01
10,Stage_2,2019-12-02
10,Stage_6,2019-12-05
10,Stage_8,2019-12-13
10,Stage_7,2019-12-15
11,Stage_0,2019-12-01
11,Stage_2,2019-12-02
11,Stage_1,2019-12-08
11,Stage_3,2019-12-11
11,Stage_6,2019-12-15
11,Stage_7,2019-12-18
11,Stage_8,2019-12-24
12,Stage_1,2019-12-01
12,Stage_2,2019-12-07
12,Stage_4,2019-12-09
12,Stage_5,2019-12-14
12,Stage_6,2019-12-15
12,Stage_7,2019-12-22
12,Stage_8,2019-12-29
13,Stage_0,2019-12-01
13,Stage_1,2019-12-04
13,Stage_2,2019-12-09
13,Stage_5,2019-12-13
13,Stage_6,2019-12-19
13,Stage_8,2019-12-21
14,Stage_0,2019-12-01
14,Stage_2,2019-12-02
14,Stage_3,2019-12-10
14,Stage_1,2019-12-16
14,Stage_5,2019-12-18
15,Stage_1,2019-12-01
15,Stage_2,2019-12-02
15,Stage_0,2019-12-08
15,Stage_5,2019-12-17
15,Stage_6,2019-12-19
15,Stage_8,2019-12-20
15,Stage_7,2019-12-22
16,Stage_0,2019-12-01
16,Stage_1,2019-12-09
16,Stage_2,2019-12-17
16,Stage_6,2019-12-19
16,Stage_5,2019-12-24
16,Stage_8,2019-12-26
17,Stage_1,2019-12-01
17,Stage_2,2019-12-06
17,Stage_7,2019-12-07
17,Stage_6,2019-12-09
18,Stage_0,2019-12-01
18,Stage_2,2019-12-07
18,Stage_1,2019-12-09
18,Stage_8,2019-12-17
19,Stage_1,2019-12-01
19,Stage_2,2019-12-02
19,Stage_3,2019-12-06
19,Stage_6,2019-12-07
19,Stage_8,2019-12-15
20,Stage_0,2019-12-01
