id,stages,dt
0.0,Stage_0,2019-12-01
0.0,Stage_3,2019-12-02
0.0,Stage_5,2019-12-05
0.0,Stage_2,2019-12-11
0.0,Stage_7,2019-12-17
1.0,Stage_0,2019-12-01
1.0,Stage_2,2019-12-06
1.0,Stage_4,2019-12-08
1.0,Stage_3,2019-12-13
1.0,Stage_8,2019-12-16
2.0,Stage_0,2019-12-01
2.0,Stage_2,2019-12-04
2.0,Stage_3,2019-12-06
2.0,Stage_4,2019-12-12
2.0,Stage_5,2019-12-21
2.0,Stage_8,2019-12-24
2.0,Stage_7,2019-12-31
3.0,Stage_2,2019-12-01
3.0,Stage_9,2019-12-10
4.0,Stage_0,2019-12-01
4.0,Stage_2,2019-12-10
4.0,Stage_3,2019-12-14
4.0,Stage_7,2019-12-21
5.0,Stage_0,2019-12-01
5.0,Stage_2,2019-12-05
5.0,Stage_3,2019-12-12
5.0,Stage_7,2019-12-13
6.0,Stage_5,2019-12-01
6.0,Stage_2,2019-12-03
6.0,Stage_8,2019-12-09
7.0,Stage_0,2019-12-01
7.0,Stage_2,2019-12-03
7.0,Stage_6,2019-12-12
7.0,Stage_8,2019-12-13
8.0,Stage_2,2019-12-01
8.0,Stage_4,2019-12-10
8.0,Stage_5,2019-12-15
8.0,Stage_3,2019-12-21
9.0,Stage_0,2019-12-01
9.0,Stage_2,2019-12-09
9.0,Stage_5,2019-12-13
9.0,Stage_7,2019-12-14
9.0,Stage_8,2019-12-19
10.0,Stage_0,2019-12-01
10.0,Stage_2,2019-12-06
10.0,Stage_5,2019-12-09
10.0,Stage_7,2019-12-17
11.0,Stage_0,2019-12-01
11.0,Stage_3,2019-12-06
11.0,Stage_5,2019-12-15
11.0,Stage_7,2019-12-24
11.0,Stage_8,2019-12-28
12.0,Stage_0,2019-12-01
12.0,Stage_2,2019-12-06
12.0,Stage_9,2019-12-10
13.0,Stage_2,2019-12-01
13.0,Stage_7,2019-12-06
13.0,Stage_4,2019-12-14
14.0,Stage_0,2019-12-01
14.0,Stage_1,2019-12-10
14.0,Stage_5,2019-12-13
14.0,Stage_7,2019-12-20
15.0,Stage_0,2019-12-01
15.0,Stage_2,2019-12-09
15.0,Stage_3,2019-12-13
15.0,Stage_4,2019-12-22
15.0,Stage_5,2019-12-25
15.0,Stage_8,2019-12-27
16.0,Stage_0,2019-12-01
16.0,Stage_6,2019-12-08
16.0,Stage_3,2019-12-11
16.0,Stage_8,2019-12-13
17.0,Stage_3,2019-12-01
17.0,Stage_8,2019-12-08
18.0,Stage_0,2019-12-01
18.0,Stage_1,2019-12-06
18.0,Stage_2,2019-12-07
18.0,Stage_8,2019-12-09
18.0,Stage_9,2019-12-14
19.0,Stage_2,2019-12-01
19.0,Stage_0,2019-12-02
19.0,Stage_3,2019-12-04
19.0,Stage_5,2019-12-12
19.0,Stage_8,2019-12-19
20.0,Stage_0,2019-12-01
20.0,Stage_2,2019-12-04
20.0,Stage_3,2019-12-09
20.0,Stage_5,2019-12-17
20.0,Stage_8,2019-12-21
21.0,Stage_0,2019-12-01
21.0,Stage_1,2019-12-07
21.0,Stage_2,2019-12-13
21.0,Stage_5,2019-12-20
21.0,Stage_7,2019-12-26
22.0,Stage_0,2019-12-01
22.0,Stage_3,2019-12-03
22.0,Stage_9,2019-12-07
23.0,Stage_0,2019-12-01
23.0,Stage_5,2019-12-06
24.0,Stage_1,2019-12-01
24.0,Stage_0,2019-12-09
24.0,Stage_3,2019-12-14
24.0,Stage_6,2019-12-17
24.0,Stage_2,2019-12-18
24.0,Stage_8,2019-12-22
24.0,Stage_9,2019-12-27
25.0,Stage_0,2019-12-01
25.0,Stage_2,2019-12-05
