id,stages,dt
0,Stage_0,2019-12-01
0,Stage_6,2019-12-08
0,Stage_5,2019-12-15
0,Stage_8,2019-12-17
1,Stage_1,2019-12-01
1,Stage_5,2019-12-04
1,Stage_4,2019-12-09
1,Stage_8,2019-12-15
1,Stage_7,2019-12-18
1,Stage_9,2019-12-20
2,Stage_0,2019-12-01
2,Stage_3,2019-12-06
2,Stage_4,2019-12-11
2,Stage_5,2019-12-16
2,Stage_8,2019-12-25
2,Stage_9,2019-12-28
3,Stage_0,2019-12-01
3,Stage_1,2019-12-07
3,Stage_5,2019-12-15
3,Stage_6,2019-12-19
4,Stage_0,2019-12-01
4,Stage_1,2019-12-02
4,Stage_4,2019-12-10
4,Stage_5,2019-12-17
4,Stage_6,2019-12-21
4,Stage_7,2019-12-28
4,Stage_8,2019-12-30
5,Stage_1,2019-12-01
5,Stage_0,2019-12-06
5,Stage_5,2019-12-09
5,Stage_8,2019-12-16
6,Stage_4,2019-12-01
6,Stage_5,2019-12-10
7,Stage_0,2019-12-01
7,Stage_1,2019-12-02
7,Stage_3,2019-12-07
7,Stage_5,2019-12-10
7,Stage_7,2019-12-13
7,Stage_8,2019-12-16
8,Stage_0,2019-12-01
8,Stage_3,2019-12-04
8,Stage_4,2019-12-08
8,Stage_5,2019-12-16
8,Stage_7,2019-12-24
8,Stage_8,2020-01-02
9,Stage_0,2019-12-01
9,Stage_1,2019-12-08
9,Stage_4,2019-12-16
9,Stage_7,2019-12-20
9,Stage_8,2019-12-25
